date,close,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2021-09-16,16.444763,0.0,13.020326137542725,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.52608526,0.022569895,0.0,-1.7879225244037424
2021-09-17,16.787142,0.0,12.79186990737915,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.51621836,0.020819902,0.0,-1.7223383523865832
2021-09-20,17.113459,0.0,12.607241764068604,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.50681436,0.019438505,0.0,-1.662719757134421
2021-09-21,17.4175,0.0,12.467718677520752,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.49805236,0.017766237,0.0,-1.607748239604787
2021-09-22,17.688618,0.0,12.373365840911866,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.4902391,0.015565872,0.0,-1.5580813634824202
2021-09-23,17.92359,0.0,12.322917919158936,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.48346755,0.013283849,0.0,-1.5150346066266878
2021-09-24,18.124676,0.0,12.314096698760986,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.47767255,0.011219025,0.0,-1.4786409122041373
2021-09-27,18.303535,0.0,12.34406789779663,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.47251806,0.009868264,0.0,-1.4481398503905398
2021-09-28,18.48864,0.0,12.410046367645263,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.46718362,0.010113001,0.0,-1.4214672490955425
2021-09-29,18.708668,0.0,12.509527816772462,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.4608427,0.011900663,0.0,-1.394238018132121
2021-09-30,18.979538,0.0,12.640168323516846,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.4530366,0.014478326,0.0,-1.3622627469979947
2021-10-01,19.305693,0.0,12.799709339141845,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.4436373,0.017184496,0.0,-1.32340903523485
2021-10-04,19.677916,0.0,12.985864639282227,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.43291035,0.019280434,0.0,-1.2773619112343393
2021-10-05,20.096413,0.0,13.196616897583008,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.42084986,0.021267295,0.0,-1.2258502840768324
2021-10-06,20.553366,0.0,13.430081539154052,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.40768114,0.0227381,0.0,-1.169237606904054
2021-10-07,21.03018,0.0,13.68432014465332,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.39394003,0.023198843,0.0,-1.10900166964437
2021-10-08,21.51621,0.0,13.95747727394104,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.3799333,0.023111105,0.0,-1.047931590756184
2021-10-11,21.99778,0.0,14.247669506072999,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.36605516,0.022381663,0.0,-0.9875040782938975
2021-10-12,22.460981,0.0,14.552861404418945,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.35270634,0.021056771,0.0,-0.9293952957555683
2021-10-13,22.903727,0.0,14.870734949111938,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.33994707,0.019711733,0.0,-0.875109066115617
2021-10-14,23.325293,0.0,15.198539533615111,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.32779813,0.018406034,0.0,-0.8246067814279219
2021-10-15,23.726328,0.0,15.533231067657471,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.31624085,0.017193198,0.0,-0.7777069758311825
2021-10-18,24.11813,0.0,15.871946058273316,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.3049497,0.016513348,0.0,-0.734105452538579
2021-10-19,24.532291,0.0,16.212635917663576,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.29301414,0.017172217,0.0,-0.6923852960914519
2021-10-20,24.99736,0.0,16.554147167205812,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.2796115,0.018957376,0.0,-0.6491046889602355
2021-10-21,25.521992,0.0,16.89598913192749,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.26449236,0.02098751,0.0,-0.60140676873207
2021-10-22,26.120338,0.0,17.238513526916503,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.24724887,0.023444414,0.0,-0.5487105573578439
2021-10-25,26.810019,0.0,17.582883586883543,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.22737327,0.026403904,0.0,-0.4899909902878741
2021-10-26,27.692833,0.0,17.932629833221437,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.2019318,0.032928586,0.0,-0.42406363099002153
2021-10-27,28.90122,0.0,18.2943896484375,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.16710779,0.04363537,0.0,-0.34209689719407554
2021-10-28,30.535543,0.0,18.677509937286377,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.12000892,0.056548595,0.0,-0.23408674373265415
2021-10-29,32.666233,0.0,19.09322793960571,0.0,0.0,10000,0,0,10000,0.0,0.0,-0.058605466,0.06977737,0.0,-0.09584558833437026
2021-11-01,35.34231,0.0,19.554166259765626,0.0,0.0,10000,0,0,10000,0.0,0.0,0.018515332,0.081921816,0.0,0.0709599244380335
2021-11-02,38.653862,0.0,20.07490058898926,0.0,0.0,10000,0,0,10000,0.0,0.0,0.113949515,0.093699336,0.0,0.26042268161152526
2021-11-03,42.651882,0.0,20.670771045684816,0.0,0.0,10000,0,0,10000,0.0,0.0,0.22916679,0.103431344,0.0,0.4679196041934369
2021-11-04,47.349583,0.0,21.357094116210938,0.0,0.0,10000,0,0,10000,0.0,0.0,0.36454785,0.11014056,0.0,0.68551379282346
2021-11-05,52.7493,0.0,22.14880500793457,0.0,0.0,10000,0,0,10000,0.0,0.0,0.52016,0.1140393,0.0,0.9049564891005747
