date,open,high,low,close,volume,market_cap,signal,short_ema,long_ema,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2021-06-19,35820.48,36457.0,34803.52,35483.72,68712.449461,68712.449461,1.0,41649.93498629619,40778.25578645313,0.0,0.0,849.8816198616873,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,2.8435571923743503,-0.00938362650419422,-0.9999999999999984,2.1831527325469002
2021-06-20,35483.72,36137.72,33336.0,35600.16,89878.17085,89878.17085,1.0,41412.688908402226,40726.732445294394,0.0,0.0,849.8816198616873,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,2.8561698440207977,0.003281504870402685,-0.9999999999999912,2.170262209189647
2021-06-21,35600.17,35750.0,31251.23,31608.93,168778.873159,168778.873159,1.0,41028.2277747394,40636.00804285365,0.0,0.0,849.8816198616873,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,2.423844237435009,-0.11211269836989501,-1.0000000000000075,2.1746449788344555
2021-06-22,31614.12,33298.78,28805.0,32509.56,204208.179762,204208.179762,1.0,40694.16237180844,40555.147863322774,0.0,0.0,849.8816198616873,9990009.990009991,9990009.990009991,-0.09990009990008548,0.0,2.521399480069324,0.028492897418546104,-0.9999999999999869,2.0009937252216377
2021-06-23,32509.56,34881.0,31683.0,33678.07,126966.100563,126966.100563,0.0,40419.021494482615,40486.71922786683,-1.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,1.8622344063042608,2.647971187175043,0.0359435809035864,-0.9999999999999846,2.037519562857133
2021-06-24,33675.07,35298.0,32286.57,34663.09,86625.80426,86625.80426,0.0,40193.29869077742,40428.772668385565,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.754667461005199,0.029248113089615835,0.9994619014535825,2.0830754534178464
2021-06-25,34663.08,35500.0,31275.0,31584.45,116061.130356,116061.130356,0.0,39855.696781335166,40340.76945775487,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.4211925909878684,-0.08881608650584805,0.9994619056487097,2.120450980663057
2021-06-26,31576.09,32730.0,30151.0,32283.65,107820.375287,107820.375287,0.0,39558.75377030241,40260.59911489164,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.4969291594454073,0.022137475878161617,0.9994619098204661,1.9886848125422567
2021-06-27,32283.65,34749.0,31973.45,34700.34,96613.244211,96613.244211,0.0,39368.22774009448,40205.27315354943,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.7587023396880412,0.07485801636432043,0.9994619139690459,2.0170485031893626
2021-06-28,34702.49,35297.71,33862.72,34494.89,82222.267819,82222.267819,0.0,39177.116456169206,40148.45342067829,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.7364482235701906,-0.0059206912670018985,0.9994619180946419,2.1058607685794053
2021-06-29,34494.89,36600.0,34225.43,35911.73,90788.79622,90788.79622,0.0,39049.06208533904,40106.29696873124,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.8899187608318893,0.04107390978779768,0.9994619221974448,2.097980582537723
2021-06-30,35911.72,36100.0,34017.55,35045.0,77152.197634,77152.197634,0.0,38892.04004277673,40055.93580486328,0.0,28593750.312729884,0.0,0.0,28593750.312729884,185.93750312729884,0.0,2.796035528596187,-0.0241350110395685,0.9994619262776426,2.1489441113963936
