date,open,high,low,close,volume,market_cap,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2020-09-24,320.72,353.1,316.67,348.97,1071705.09721,1071705.09721,0.0,368.52740000000006,406.38295,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.2113300804765226,0.08808306310800695,0.9975768367848263,1.5822749363944173
2020-09-25,348.97,358.0,337.58,351.92,860643.77924,860643.77924,0.0,367.5346,409.07924999999994,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.230023445915975,0.00845344872052034,0.9975769233552687,1.7249745418019775
2020-09-26,351.93,356.4,345.88,353.92,530879.20755,530879.20755,0.0,366.22920000000005,412.80154999999996,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.242696914010519,0.005683109797681274,0.9975770088951326,1.7404293592640243
2020-09-27,353.95,362.14,347.24,357.49,569568.55041,569568.55041,0.0,364.5288,416.85235,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.26531905455928,0.010087025316455778,0.9975770934227121,1.7508450269021665
2020-09-28,357.58,368.2,351.7,353.96,757758.4304,757758.4304,0.0,364.0184,421.20515,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.2429503833724096,-0.00987440208117718,0.9975771769558702,1.76924994674253
2020-09-29,353.91,360.63,350.45,359.79,585143.16892,585143.16892,0.0,364.57259999999997,426.1028,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.2798935428680058,0.01647078765962262,0.9975772595120533,1.7505305219011404
2020-09-30,359.78,361.5,351.56,359.83,498943.23226,498943.23226,0.0,365.11019999999996,431.08695,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.2801470122298966,0.00011117596375642691,0.997577341108301,1.7802941355221986
2020-10-01,359.83,370.45,345.51,352.85,758349.31959,758349.31959,0.0,366.5272,435.95595000000003,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.235916608579938,-0.01939804907873155,0.9975774217612594,1.780436333673744
2020-10-02,352.83,354.55,334.24,345.6,733571.84211,733571.84211,0.0,367.3216,441.12025,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.1899752867372158,-0.020546974635114124,0.9975775014871909,1.7432232631349949
2020-10-03,345.6,351.0,343.7,345.95,303595.71901,303595.71901,0.0,368.31879999999995,446.2186,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.1921931436537607,0.0010127314814813992,0.9975775803019873,1.7038487230841075
2020-10-04,345.94,354.45,343.81,352.37,343932.91712,343932.91712,0.0,369.3356,450.49115,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.2328749762372473,0.018557595028183327,0.9975776582211798,1.7056694609685954
2020-10-05,352.34,356.1,348.54,353.62,376740.30692,376740.30692,0.0,370.06120000000004,454.59375,0.0,14138298.571073273,0.0,0.0,14138298.571073273,41.38298571073273,0.0,1.2407958937963373,0.0035474075545591788,0.9975777352599473,1.7390070140494545
