date,open,high,low,close,volume,signal,short_ma,long_ma,positions,cash,stock,holding,total,roi_gross,roi_daily,roi_buy&hold,roi_daily_buy&hold,sharpe,sharpe_buy&hold
2020-11-17,460.17,462.0,433.01,441.61,61188281.0,0.0,420.724,839.78455,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.6055750560453007,0.08213874390453091,-0.9999999999999998,-0.17613544093915792
2020-11-18,448.35,496.0,443.5001,486.64,78044024.0,0.0,423.13120000000004,838.54425,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.5653564123862348,0.10196779964221814,-1.0000000000000002,-0.08753291859392326
2020-11-19,492.0,508.6112,487.57,499.27,62475346.0,0.0,425.68980000000005,837.2958,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.5540759000741317,0.025953476902843997,-1.0000000000000009,0.02146063572486648
2020-11-20,497.99,502.5,489.06,489.61,32911922.0,0.0,428.0276,836.0035,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.5627037503460965,-0.019348248442726312,-0.9999999999999998,0.049053975985335556
2020-11-23,503.5,526.0,501.79,521.85,50260304.0,0.0,430.0722,834.75635,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.5339085233514643,0.06584832826126918,-1.0000000000000002,0.028473136037293952
2020-11-24,540.4,559.99,526.2,555.38,52058771.0,0.0,432.1846,833.66135,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.5039611300161662,0.06425217974513742,-1.0000000000000004,0.09825388760533381
2020-11-25,550.06,574.0,545.37,574.0,48930162.0,0.0,434.8294,832.6949,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.48733063601368315,0.033526594403831655,-1.0000000000000002,0.1660426841986286
2020-11-27,581.16,598.78,578.45,585.76,37561078.0,0.0,438.07599999999996,831.6037,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.47682716611737813,0.0204878048780488,-1.0,0.20142153798767815
2020-11-30,602.21,607.8,554.51,567.6,63003052.0,0.0,440.585,830.44155,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.49304681010691037,-0.03100245834471449,-0.999999999999999,0.2230614982737102
2020-12-01,597.59,597.85,572.05,584.76,39133346.0,0.0,443.2924,829.0733499999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.4777203183194449,0.03023255813953485,-0.9999999999999998,0.19016305944326878
2020-12-02,556.44,571.54,541.21,568.82,47775653.0,0.0,446.1842,827.3303500000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.4919571644203889,-0.02725904644640531,-0.9999999999999996,0.22203077676161975
2020-12-03,590.02,598.97,582.43,593.38,42552003.0,0.0,450.4446,825.8002,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.47002134633762943,0.043177103477374024,-1.0,0.19314343481708976
2020-12-04,591.01,599.04,585.5,599.04,29401314.0,0.0,454.6696,824.2904000000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.46496610487393164,0.009538575617648037,-1.0000000000000009,0.23852883623330629
2020-12-07,604.9197,648.7856,603.05,641.76,56309709.0,0.0,459.358,823.33025,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.4268106428016399,0.07131410256410264,-1.0000000000000013,0.2485970878918249
2020-12-08,625.505,651.28,618.5,649.88,64265029.0,0.0,463.93160000000006,822.5800999999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.41955824692085786,0.01265270506108207,-0.9999999999999988,0.3230054698456969
2020-12-09,653.69,654.32,588.0,604.48,71291190.0,0.0,467.63980000000004,821.7085000000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.46010735689468846,-0.06985905090170486,-1.0000000000000004,0.33631783313146346
2020-12-10,574.37,627.75,566.34,627.07,67083153.0,0.0,471.601,821.4488500000001,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.43993104865000043,0.03737096347273705,-0.9999999999999997,0.2620366421071886
2020-12-11,615.01,624.0,596.8,609.99,46474974.0,0.0,474.8376,821.1588499999999,0.0,3840279.385146886,0.0,0.0,3840279.385146886,-61.597206148531136,0.0,-0.45518608826130064,-0.027237788444671285,-1.0000000000000004,0.30106268037278744
