date,open,high,low,close,volume,VWAP
2022-02-10 08:15:00,3201.34,3202.74,3196.24,3197.22,1373.0,3141.1374946521782
2022-02-10 08:20:00,3197.22,3198.47,3193.53,3193.86,947.0,3141.212114476915
2022-02-10 08:25:00,3193.85,3195.0,3191.19,3194.2,991.0,3141.2873558433334
2022-02-10 08:30:00,3194.2,3196.47,3190.53,3193.53,884.0,3141.3543505078796
2022-02-10 08:35:00,3193.54,3198.99,3192.14,3197.9,747.0,3141.4138968159796
2022-02-10 08:40:00,3197.9,3199.41,3192.67,3196.17,875.0,3141.4831533382417
2022-02-10 08:45:00,3196.18,3198.17,3193.12,3197.54,748.0,3141.542427948728
2022-02-10 08:50:00,3197.55,3198.63,3195.39,3197.12,1155.0,3141.6349875037413
2022-02-10 08:55:00,3197.13,3199.07,3196.07,3198.74,745.0,3141.6955081834385
2022-02-10 09:00:00,3198.75,3200.3,3194.32,3195.59,1121.0,3141.7843541697616
2022-02-10 09:05:00,3195.6,3196.06,3185.53,3185.53,1355.0,3141.876376048875
2022-02-10 09:10:00,3185.53,3188.79,3183.62,3186.05,1482.0,3141.9704783142884
2022-02-10 09:15:00,3186.05,3196.34,3185.28,3195.8,1151.0,3142.053702411449
2022-02-10 09:20:00,3195.8,3210.75,3195.79,3204.62,2176.0,3142.2452222192137
2022-02-10 09:25:00,3204.61,3210.76,3202.09,3204.69,1522.0,3142.3830847239296
2022-02-10 09:30:00,3204.69,3205.7,3199.1,3199.72,910.0,3142.45960987234
2022-02-10 09:35:00,3199.72,3202.87,3199.0,3199.34,499.0,3142.5007059966765
2022-02-10 09:40:00,3199.35,3204.88,3198.18,3203.24,838.0,3142.571608584637
2022-02-10 09:45:00,3203.23,3204.91,3201.08,3203.22,453.0,3142.610489795363
2022-02-10 09:50:00,3203.22,3207.33,3202.28,3207.33,607.0,3142.6647276457497
2022-02-10 09:55:00,3207.32,3217.02,3206.9,3214.39,1560.0,3142.819409686965
2022-02-10 10:00:00,3214.36,3235.0,3211.74,3226.34,5399.0,3143.437352132977
2022-02-10 10:05:00,3226.34,3245.38,3225.76,3244.54,5926.0,3144.2220615734313
2022-02-10 10:10:00,3244.54,3253.19,3240.4,3247.96,5453.0,3144.997751974295
2022-02-10 10:15:00,3247.96,3256.38,3244.0,3251.51,4205.0,3145.6078867431625
2022-02-10 10:20:00,3251.5,3253.5,3244.31,3249.48,1342.0,3145.7983052695745
2022-02-10 10:25:00,3249.48,3269.0,3249.48,3255.1,5705.0,3146.6680512051726
2022-02-10 10:30:00,3255.11,3256.55,3250.11,3250.98,1351.0,3146.862294347197
2022-02-10 10:35:00,3250.98,3259.02,3250.98,3258.47,1231.0,3147.0446891971437
2022-02-10 10:40:00,3258.47,3260.41,3251.56,3253.38,1004.0,3147.1915861585667
2022-02-10 10:45:00,3253.38,3253.39,3242.17,3244.32,1631.0,3147.4106656283143
2022-02-10 10:50:00,3244.5,3248.24,3241.63,3244.49,904.0,3147.5294333517304
2022-02-10 10:55:00,3244.5,3247.27,3243.01,3246.94,549.0,3147.602125425475
2022-02-10 11:00:00,3246.93,3248.32,3236.66,3238.29,1543.0,3147.796202926983
2022-02-10 11:05:00,3238.29,3247.02,3237.37,3244.55,884.0,3147.9092744010113
2022-02-10 11:10:00,3244.56,3253.12,3243.0,3251.05,1169.0,3148.067918988933
2022-02-10 11:15:00,3251.05,3254.92,3244.18,3244.93,1009.0,3148.2030353913606
2022-02-10 11:20:00,3244.93,3258.6,3243.96,3253.47,1461.0,3148.4058484400334
2022-02-10 11:25:00,3253.46,3256.87,3249.99,3252.86,1420.0,3148.6045431956104
2022-02-10 11:30:00,3252.87,3283.66,3251.62,3271.98,5904.0,3149.546552710669
2022-02-10 11:35:00,3271.97,3280.0,3268.67,3269.07,1808.0,3149.840432245073
2022-02-10 11:40:00,3268.99,3273.85,3266.12,3266.12,1127.0,3150.0171366834197
2022-02-10 11:45:00,3266.13,3268.8,3245.14,3246.0,2220.0,3150.3187627569678
2022-02-10 11:50:00,3246.0,3247.69,3237.19,3247.56,2837.0,3150.667585942404
2022-02-10 11:55:00,3247.57,3252.2,3243.6,3248.05,1229.0,3150.8240092044953
2022-02-10 12:00:00,3248.05,3261.1,3243.64,3254.37,2670.0,3151.1798179460375
2022-02-10 12:05:00,3254.37,3254.61,3247.89,3253.38,1221.0,3151.339995135996
2022-02-10 12:10:00,3253.38,3257.94,3251.79,3255.99,1543.0,3151.548261890012
2022-02-10 12:15:00,3255.99,3256.0,3240.65,3242.01,1601.0,3151.7447552197073
2022-02-10 12:20:00,3242.0,3244.79,3233.57,3240.83,1644.0,3151.931876498463
2022-02-10 12:25:00,3240.83,3247.87,3239.57,3244.1,1112.0,3152.0639079540715
2022-02-10 12:30:00,3244.11,3248.53,3236.3,3241.2,1377.0,3152.2236177802456
2022-02-10 12:35:00,3241.2,3242.0,3236.07,3240.86,1524.0,3152.395075533435
2022-02-10 12:40:00,3240.86,3241.9,3229.48,3233.51,2784.0,3152.6898513703536
2022-02-10 12:45:00,3233.51,3239.68,3232.75,3237.8,1201.0,3152.8191041517857
2022-02-10 12:50:00,3237.79,3251.29,3237.07,3249.53,2546.0,3153.121755138942
2022-02-10 12:55:00,3249.53,3249.88,3244.14,3244.65,728.0,3153.2081748583887
2022-02-10 13:00:00,3244.66,3247.96,3239.8,3242.67,1136.0,3153.338734921099
2022-02-10 13:05:00,3242.67,3259.84,3242.08,3255.0,2035.0,3153.5944939397937
2022-02-10 13:10:00,3254.65,3262.9,3250.18,3258.55,1534.0,3153.7959484346957
2022-02-10 13:15:00,3258.55,3264.44,3254.01,3256.35,1188.0,3153.9530152500956
2022-02-10 13:20:00,3256.36,3257.11,3249.01,3250.01,1495.0,3154.1382488880163
2022-02-10 13:25:00,3250.0,3256.94,3246.91,3255.2,1011.0,3154.264359295244
2022-02-10 13:30:00,3255.2,3255.4,3151.09,3166.72,18817.0,3155.1178014731527
2022-02-10 13:35:00,3166.54,3172.31,3140.28,3166.57,9364.0,3155.1703007629353
2022-02-10 13:40:00,3166.58,3166.58,3129.39,3139.48,9093.0,3155.060518984228
2022-02-10 13:45:00,3139.48,3152.69,3131.99,3146.54,6121.0,3154.977640873346
2022-02-10 13:50:00,3146.55,3149.73,3134.19,3134.57,6506.0,3154.8581053254998
2022-02-10 13:55:00,3134.57,3136.39,3123.06,3125.68,5547.0,3154.68491056259
2022-02-10 14:00:00,3125.69,3131.28,3085.5,3101.31,12863.0,3153.958023723635
2022-02-10 14:05:00,3101.32,3118.01,3090.57,3106.4,8279.0,3153.491683682726
2022-02-10 14:10:00,3106.09,3110.0,3097.85,3105.11,3120.0,3153.315828363313
2022-02-10 14:15:00,3105.11,3111.14,3090.72,3099.71,4375.0,3153.0523993695083
2022-02-10 14:20:00,3099.71,3109.43,3093.38,3103.31,2780.0,3152.891164479192
2022-02-10 14:25:00,3103.31,3117.21,3103.23,3116.05,3090.0,3152.748582324433
2022-02-10 14:30:00,3116.34,3143.7,3116.0,3134.9,6779.0,3152.5868836767613
2022-02-10 14:35:00,3134.9,3142.06,3130.1,3140.35,4011.0,3152.5191671404973
2022-02-10 14:40:00,3140.34,3144.44,3126.02,3128.56,3100.0,3152.4516974333715
2022-02-10 14:45:00,3128.56,3133.11,3117.81,3123.69,2972.0,3152.3605663158087
2022-02-10 14:50:00,3123.88,3149.92,3122.81,3142.8,3631.0,3152.3048809461875
2022-02-10 14:55:00,3143.18,3170.0,3138.85,3170.0,5573.0,3152.349723273778
2022-02-10 15:00:00,3169.96,3232.0,3157.03,3221.74,15453.0,3153.2065177027253
2022-02-10 15:05:00,3221.74,3239.92,3209.52,3238.98,7975.0,3153.8590274809703
2022-02-10 15:10:00,3238.98,3246.03,3211.33,3220.92,8532.0,3154.514203480933
2022-02-10 15:15:00,3220.93,3230.0,3210.34,3218.97,4242.0,3154.8071574012365
2022-02-10 15:20:00,3218.98,3222.84,3204.53,3215.99,2540.0,3154.96706165673
2022-02-10 15:25:00,3215.99,3232.82,3210.74,3224.99,3107.0,3155.1889444995604
2022-02-10 15:30:00,3225.29,3244.96,3220.34,3226.29,4289.0,3155.527363246711
2022-02-10 15:35:00,3226.29,3249.43,3224.77,3245.26,4291.0,3155.9044727777873
2022-02-10 15:40:00,3245.39,3264.85,3239.14,3248.41,6460.0,3156.539339192923
2022-02-10 15:45:00,3248.4,3251.31,3237.57,3246.59,2621.0,3156.7792293987536
2022-02-10 15:50:00,3246.59,3249.52,3200.85,3210.33,8370.0,3157.3230727082478
2022-02-10 15:55:00,3210.11,3212.92,3193.63,3209.91,4899.0,3157.5634767551705
2022-02-10 16:00:00,3209.9,3223.36,3200.86,3207.54,4160.0,3157.7872652616356
2022-02-10 16:05:00,3207.54,3217.71,3203.15,3208.77,2007.0,3157.893115517514
2022-02-10 16:10:00,3208.76,3210.39,3194.14,3194.68,2997.0,3158.019704117126
2022-02-10 16:15:00,3194.67,3206.58,3182.69,3203.43,3974.0,3158.1777130442815
2022-02-10 16:20:00,3203.11,3208.93,3191.0,3206.21,2961.0,3158.3079233436197
2022-02-10 16:25:00,3206.32,3217.86,3204.17,3212.84,3415.0,3158.4898133967913
2022-02-10 16:30:00,3212.85,3213.87,3198.48,3202.92,1784.0,3158.5727172424813
2022-02-10 16:35:00,3202.91,3203.03,3189.28,3192.99,2700.0,3158.670802906062
2022-02-10 16:40:00,3192.99,3202.89,3192.59,3202.59,1240.0,3158.72091636412
2022-02-10 16:45:00,3202.61,3214.24,3199.69,3209.1,1004.0,3158.769690958583
2022-02-10 16:50:00,3209.11,3218.16,3208.01,3214.22,1325.0,3158.8415097870566
2022-02-10 16:55:00,3213.89,3227.87,3213.89,3226.28,1742.0,3158.9515286731134
2022-02-10 17:00:00,3226.29,3232.93,3219.06,3221.4,1918.0,3159.0756028355504
2022-02-10 17:05:00,3221.4,3228.79,3219.47,3224.91,1196.0,3159.1526471678962
2022-02-10 17:10:00,3224.92,3247.9,3223.42,3236.73,4985.0,3159.528708623887
2022-02-10 17:15:00,3236.73,3245.23,3225.7,3229.55,2931.0,3159.740868340926
2022-02-10 17:20:00,3229.55,3229.86,3223.25,3229.32,1188.0,3159.8195281915355
2022-02-10 17:25:00,3229.33,3236.77,3227.59,3233.9,1091.0,3159.8972260656888
2022-02-10 17:30:00,3233.89,3239.28,3219.83,3224.91,2579.0,3160.0683149765023
2022-02-10 17:35:00,3224.91,3233.26,3224.9,3232.1,774.0,3160.1210608835936
2022-02-10 17:40:00,3232.09,3235.52,3223.21,3226.15,672.0,3160.1656192245487
2022-02-10 17:45:00,3226.15,3228.06,3198.2,3207.17,5338.0,3160.428925914173
2022-02-10 17:50:00,3207.18,3209.0,3194.71,3205.17,2843.0,3160.54560502269
2022-02-10 17:55:00,3205.17,3218.36,3201.69,3210.84,1893.0,3160.6363181770334
2022-02-10 18:00:00,3210.99,3217.46,3207.76,3212.58,1845.0,3160.7284994040365
2022-02-10 18:05:00,3212.58,3217.21,3202.76,3205.22,1322.0,3160.78901320471
2022-02-10 18:10:00,3205.22,3207.93,3190.0,3197.3,2698.0,3160.886230364087
2022-02-10 18:15:00,3197.31,3199.15,3185.52,3191.22,2332.0,3160.9554885204957
2022-02-10 18:20:00,3191.76,3196.89,3189.04,3193.99,1175.0,3160.9917747988393
2022-02-10 18:25:00,3193.99,3195.32,3172.18,3177.3,2915.0,3161.04896041629
2022-02-10 18:30:00,3177.67,3182.0,3168.0,3172.01,1854.0,3161.0717831668026
2022-02-10 18:35:00,3172.01,3179.57,3162.05,3172.52,2447.0,3161.095697082144
2022-02-10 18:40:00,3173.76,3179.98,3168.27,3177.43,1594.0,3161.1170195585096
2022-02-10 18:45:00,3177.44,3184.32,3172.95,3179.0,1190.0,3161.1368679477114
2022-02-10 18:50:00,3178.95,3181.69,3175.0,3179.64,926.0,3161.1522996177637
2022-02-10 18:55:00,3179.64,3186.13,3173.41,3186.13,1421.0,3161.1801018941965
2022-02-10 19:00:00,3186.14,3189.37,3166.11,3166.76,1881.0,3161.202954236377
2022-02-10 19:05:00,3166.76,3167.78,3151.55,3157.55,3577.0,3161.1954235527032
2022-02-10 19:10:00,3157.55,3158.12,3140.0,3140.39,3000.0,3161.153232358122
2022-02-10 19:15:00,3140.39,3150.6,3130.46,3131.96,2304.0,3161.1027061180484
2022-02-10 19:20:00,3131.96,3142.85,3127.89,3141.07,3370.0,3161.0279276200963
2022-02-10 19:25:00,3141.08,3148.0,3134.64,3136.03,1782.0,3160.9923629508953
2022-02-10 19:30:00,3136.04,3143.66,3131.94,3137.3,1569.0,3160.9583457675217
2022-02-10 19:35:00,3137.3,3150.48,3135.01,3142.95,1433.0,3160.9342441148947
2022-02-10 19:40:00,3142.94,3149.0,3137.01,3138.31,1492.0,3160.907321428959
2022-02-10 19:45:00,3138.15,3148.15,3132.28,3132.69,1426.0,3160.87673772699
2022-02-10 19:50:00,3132.69,3134.01,3112.42,3121.46,4415.0,3160.721274920855
2022-02-10 19:55:00,3121.46,3126.64,3115.2,3121.07,1940.0,3160.650402185929
2022-02-10 20:00:00,3121.08,3121.92,3104.18,3115.38,4107.0,3160.4743339415772
2022-02-10 20:05:00,3115.39,3130.72,3114.27,3130.37,3101.0,3160.3742410102395
2022-02-10 20:10:00,3130.37,3136.28,3128.01,3134.72,1604.0,3160.3342173295528
2022-02-10 20:15:00,3134.4,3140.82,3121.33,3123.03,1565.0,3160.288711654526
2022-02-10 20:20:00,3123.03,3129.69,3114.38,3120.91,1960.0,3160.219910397182
2022-02-10 20:25:00,3120.91,3126.4,3115.82,3123.76,1223.0,3160.177473897254
2022-02-10 20:30:00,3123.75,3123.76,3106.55,3107.75,1737.0,3160.1027132852237
2022-02-10 20:35:00,3107.87,3109.16,3095.71,3100.07,5075.0,3159.8350825060793
2022-02-10 20:40:00,3100.07,3104.06,3085.37,3094.29,3168.0,3159.6490987437337
2022-02-10 20:45:00,3094.29,3101.97,3085.9,3097.09,2122.0,3159.5259016850237
2022-02-10 20:50:00,3097.71,3103.76,3085.04,3101.0,3155.0,3159.3481542903223
2022-02-10 20:55:00,3101.0,3117.98,3101.0,3111.59,2247.0,3159.249458131103
2022-02-10 21:00:00,3111.59,3112.73,3100.25,3110.95,802.0,3159.212742428871
2022-02-10 21:05:00,3110.95,3111.09,3097.46,3106.16,778.0,3159.1750422333994
2022-02-10 21:10:00,3106.16,3110.0,3099.0,3106.49,675.0,3159.142532071376
2022-02-10 21:15:00,3106.48,3107.75,3093.11,3104.44,925.0,3159.0952452252245
2022-02-10 21:20:00,3104.44,3120.58,3102.89,3117.31,1362.0,3159.040094730174
2022-02-10 21:25:00,3117.58,3128.94,3117.31,3124.93,1431.0,3158.9951819981193
2022-02-10 21:30:00,3124.94,3131.37,3120.2,3126.08,1302.0,3158.9569099144146
2022-02-10 21:35:00,3126.08,3128.05,3116.54,3121.58,963.0,3158.9253909389117
2022-02-10 21:40:00,3121.64,3125.62,3121.0,3122.93,419.0,3158.9121124463186
2022-02-10 21:45:00,3122.92,3129.55,3113.05,3115.02,1454.0,3158.8609901734476
2022-02-10 21:50:00,3115.03,3117.92,3105.24,3111.1,1527.0,3158.796928009383
2022-02-10 21:55:00,3111.1,3119.15,3108.56,3114.71,1068.0,3158.754791462363
2022-02-10 22:00:00,3114.83,3118.75,3102.38,3109.75,929.0,3158.715049003469
2022-02-10 22:05:00,3109.76,3122.58,3109.75,3118.4,545.0,3158.694946095198
2022-02-10 22:10:00,3118.88,3120.8,3113.41,3115.74,677.0,3158.669845918654
2022-02-10 22:15:00,3115.74,3115.74,3101.63,3102.95,840.0,3158.6314336288456
2022-02-10 22:20:00,3103.0,3119.99,3102.95,3119.05,391.0,3158.6160608222717
2022-02-10 22:25:00,3119.05,3128.77,3119.05,3126.69,559.0,3158.5994361533462
2022-02-10 22:30:00,3126.69,3129.76,3121.8,3122.07,705.0,3158.5783108027276
2022-02-10 22:35:00,3122.07,3122.88,3106.41,3111.5,575.0,3158.5555648901955
2022-02-10 22:40:00,3112.17,3125.05,3111.28,3122.52,357.0,3158.543343636995
2022-02-10 22:45:00,3122.17,3126.54,3113.32,3113.32,465.0,3158.526664370091
2022-02-10 22:50:00,3113.32,3119.26,3108.57,3109.75,554.0,3158.5042801199406
2022-02-10 22:55:00,3109.75,3116.83,3107.69,3115.82,598.0,3158.4806254830323
2022-02-10 23:00:00,3115.82,3119.46,3110.66,3115.95,546.0,3158.4599645438325
2022-02-10 23:05:00,3115.93,3120.0,3104.49,3105.03,1362.0,3158.401926627726
2022-02-10 23:10:00,3105.03,3107.0,3094.43,3097.74,1688.0,3158.315244378753
2022-02-10 23:15:00,3097.56,3103.94,3093.29,3099.9,1834.0,3158.220264894261
2022-02-10 23:20:00,3099.9,3102.63,3092.21,3097.84,665.0,3158.1850395515576
2022-02-10 23:25:00,3097.67,3106.2,3077.0,3077.49,3147.0,3157.9896717927127
2022-02-10 23:30:00,3077.49,3083.12,3068.18,3068.18,3487.0,3157.73285678607
2022-02-10 23:35:00,3068.5,3086.19,3067.44,3085.63,1900.0,3157.6044349051404
2022-02-10 23:40:00,3085.64,3085.64,3071.83,3071.93,1141.0,3157.524270005755
2022-02-10 23:45:00,3071.92,3071.93,3056.74,3069.4,3864.0,3157.2191381658895
2022-02-10 23:50:00,3069.41,3078.63,3060.05,3070.92,1399.0,3157.1137980622552
2022-02-10 23:55:00,3070.38,3077.0,3068.62,3072.49,724.0,3157.061152140044
2022-02-11 00:00:00,3072.36,3074.8,3043.21,3045.35,5844.0,3156.5471799102547
2022-02-11 00:05:00,3044.7,3064.84,3040.5,3064.49,2499.0,3156.3335740895827
2022-02-11 00:10:00,3064.49,3068.38,3055.43,3059.48,2596.0,3156.122581848193
2022-02-11 00:15:00,3059.47,3060.42,3035.6,3036.76,2260.0,3155.9072476668057
2022-02-11 00:20:00,3036.75,3044.18,3015.45,3017.14,4284.0,3155.4334540365644
2022-02-11 00:25:00,3017.14,3017.85,3001.0,3014.69,6217.0,3154.676343034478
2022-02-11 00:30:00,3014.68,3026.52,3007.98,3014.68,2343.0,3154.40336016285
2022-02-11 00:35:00,3014.68,3027.46,3012.61,3017.12,2159.0,3154.157615611865
2022-02-11 00:40:00,3017.11,3025.14,3011.31,3011.37,2582.0,3153.858125436733
2022-02-11 00:45:00,3011.38,3034.85,3004.89,3031.63,3017.0,3153.5296439051835
2022-02-11 00:50:00,3031.63,3035.07,3026.81,3034.21,1283.0,3153.3992971396606
2022-02-11 00:55:00,3034.21,3041.91,3031.37,3038.7,1265.0,3153.276649325961
2022-02-11 01:00:00,3038.64,3096.8,3031.0,3091.77,7259.0,3152.7939785228364
2022-02-11 01:05:00,3091.76,3094.19,3060.23,3062.64,2757.0,3152.610268249064
2022-02-11 01:10:00,3062.65,3082.63,3060.07,3081.36,2317.0,3152.4609945024854
2022-02-11 01:15:00,3081.36,3089.4,3079.31,3081.03,1562.0,3152.3717246288033
2022-02-11 01:20:00,3081.03,3082.79,3068.88,3070.01,935.0,3152.31118295486
2022-02-11 01:25:00,3070.02,3080.47,3069.36,3075.87,793.0,3152.2607851709195
2022-02-11 01:30:00,3075.88,3075.88,3064.96,3074.74,1047.0,3152.191436063512
2022-02-11 01:35:00,3074.75,3081.49,3072.32,3080.49,867.0,3152.138553691387
2022-02-11 01:40:00,3080.49,3082.58,3053.4,3059.17,2550.0,3151.9561160958556
2022-02-11 01:45:00,3059.17,3064.39,3055.65,3058.15,794.0,3151.8957808401983
2022-02-11 01:50:00,3058.15,3067.73,3058.0,3064.86,989.0,3151.824090965147
2022-02-11 01:55:00,3064.86,3068.23,3057.83,3064.92,667.0,3151.775878712602
2022-02-11 02:00:00,3064.92,3065.0,3050.0,3050.47,1816.0,3151.6322394837334
2022-02-11 02:05:00,3050.47,3053.38,3044.25,3047.96,1181.0,3151.5326549152433
2022-02-11 02:10:00,3047.95,3047.96,3035.64,3041.61,1366.0,3151.4101294656234
2022-02-11 02:15:00,3041.62,3050.02,3040.16,3045.12,985.0,3151.324652188016
2022-02-11 02:20:00,3045.12,3047.86,3041.61,3047.38,850.0,3151.25135871513
2022-02-11 02:25:00,3047.35,3054.42,3044.81,3053.95,634.0,3151.199570188084
2022-02-11 02:30:00,3053.94,3060.66,3050.49,3060.41,1149.0,3151.11158392258
2022-02-11 02:35:00,3060.32,3062.99,3055.21,3058.76,1059.0,3151.032186572915
2022-02-11 02:40:00,3058.77,3058.92,3051.89,3054.92,677.0,3150.979439621552
2022-02-11 02:45:00,3054.92,3056.35,3046.28,3046.28,960.0,3150.9003683445276
2022-02-11 02:50:00,3046.29,3052.44,3045.0,3052.01,724.0,3150.840922847282
2022-02-11 02:55:00,3052.01,3060.0,3050.69,3058.48,1279.0,3150.7429005084946
2022-02-11 03:00:00,3058.48,3065.23,3057.0,3061.08,1287.0,3150.6493872243673
2022-02-11 03:05:00,3061.08,3063.64,3059.06,3063.02,760.0,3150.59475185515
2022-02-11 03:10:00,3063.02,3063.62,3058.22,3058.86,889.0,3150.5297239590427
2022-02-11 03:15:00,3058.87,3066.39,3055.41,3064.25,996.0,3150.4584170568005
2022-02-11 03:20:00,3064.25,3067.97,3055.77,3055.77,915.0,3150.3913981821484
2022-02-11 03:25:00,3055.77,3066.44,3055.05,3064.39,1088.0,3150.313702436472
2022-02-11 03:30:00,3064.4,3066.65,3058.75,3058.89,790.0,3150.2570349292187
2022-02-11 03:35:00,3058.88,3062.08,3053.81,3062.08,619.0,3150.211632038551
2022-02-11 03:40:00,3062.08,3074.66,3061.75,3073.63,667.0,3150.1685074087018
2022-02-11 03:45:00,3073.62,3073.63,3065.81,3068.62,512.0,3150.1351633824193
2022-02-11 03:50:00,3068.61,3086.88,3068.61,3084.07,1773.0,3150.0348897155877
2022-02-11 03:55:00,3084.06,3084.99,3078.53,3081.08,995.0,3149.9800858707413
2022-02-11 04:00:00,3080.97,3087.31,3078.21,3079.28,3695.0,3149.7775307536467
