date,close,VWAP,signal,positions
2022-02-08 06:10:00,172.2,171.9688,1.0,0.0
2022-02-08 06:15:00,172.0,171.969,1.0,0.0
2022-02-08 06:20:00,172.0,171.9693,1.0,0.0
2022-02-08 06:30:00,171.81,171.957,0.0,-1.0
2022-02-08 06:35:00,172.05,171.9588,1.0,1.0
2022-02-08 06:40:00,171.75,171.9362,0.0,-1.0
2022-02-08 06:50:00,171.56,171.8629,0.0,0.0
2022-02-08 06:55:00,171.55,171.8361,0.0,0.0
2022-02-08 07:00:00,171.69,171.8269,0.0,0.0
2022-02-08 07:05:00,171.55,171.7612,0.0,0.0
2022-02-08 07:10:00,171.75,171.7551,0.0,0.0
2022-02-08 07:15:00,171.84,171.7589,1.0,1.0
2022-02-08 07:20:00,171.65,171.7325,0.0,-1.0
2022-02-08 07:25:00,171.42,171.7083,0.0,0.0
2022-02-08 07:30:00,171.55,171.6997,0.0,0.0
2022-02-08 07:35:00,171.66,171.6988,0.0,0.0
2022-02-08 07:40:00,171.61,171.6956,0.0,0.0
2022-02-08 07:45:00,171.53,171.6908,0.0,0.0
2022-02-08 07:50:00,171.65,171.6877,0.0,0.0
2022-02-08 07:55:00,171.6,171.6845,0.0,0.0
2022-02-08 08:00:00,171.8,171.6879,1.0,1.0
2022-02-08 08:05:00,171.85,171.7489,1.0,0.0
2022-02-08 08:10:00,171.9,171.7682,1.0,0.0
2022-02-08 08:15:00,171.9199,171.7729,1.0,0.0
2022-02-08 08:20:00,171.93,171.7818,1.0,0.0
2022-02-08 08:25:00,171.89,171.7873,1.0,0.0
2022-02-08 08:30:00,171.85,171.793,1.0,0.0
2022-02-08 08:35:00,171.83,171.7936,1.0,0.0
2022-02-08 08:40:00,171.83,171.7945,1.0,0.0
2022-02-08 08:45:00,171.72,171.7926,0.0,-1.0
2022-02-08 08:50:00,171.61,171.7785,0.0,0.0
2022-02-08 08:55:00,171.75,171.7717,0.0,0.0
2022-02-08 09:00:00,171.8,171.7722,1.0,1.0
2022-02-08 09:05:00,171.77,171.7736,0.0,-1.0
2022-02-08 09:10:00,171.65,171.7706,0.0,0.0
2022-02-08 09:15:00,171.52,171.6476,0.0,0.0
2022-02-08 09:20:00,171.61,171.646,0.0,0.0
2022-02-08 09:25:00,171.71,171.6464,1.0,1.0
2022-02-08 09:30:00,171.66,171.6465,1.0,0.0
2022-02-08 09:35:00,171.8001,171.8074,0.0,-1.0
2022-02-08 09:40:00,171.99,171.8262,1.0,1.0
2022-02-08 09:45:00,171.8365,171.8478,0.0,-1.0
2022-02-08 09:50:00,171.82,171.8614,0.0,0.0
2022-02-08 09:55:00,171.9197,171.865,1.0,1.0
2022-02-08 10:00:00,172.06,171.8839,1.0,0.0
2022-02-08 10:05:00,171.69,171.8674,0.0,-1.0
2022-02-08 10:10:00,171.74,171.8597,0.0,0.0
2022-02-08 10:15:00,171.81,171.8509,0.0,0.0
2022-02-08 10:20:00,172.2052,171.8736,1.0,1.0
2022-02-08 10:25:00,172.1276,171.8863,1.0,0.0
2022-02-08 10:30:00,171.9999,171.8912,1.0,0.0
2022-02-08 10:35:00,171.945,171.8943,1.0,0.0
2022-02-08 10:40:00,172.12,171.8992,1.0,0.0
2022-02-08 10:45:00,172.1362,171.9003,1.0,0.0
2022-02-08 10:50:00,172.63,171.938,1.0,0.0
2022-02-08 10:55:00,172.69,171.9692,1.0,0.0
2022-02-08 11:00:00,172.67,171.9882,1.0,0.0
2022-02-08 11:05:00,173.0008,172.0311,1.0,0.0
2022-02-08 11:10:00,173.141,172.0674,1.0,0.0
2022-02-08 11:15:00,173.275,172.1081,1.0,0.0
