Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
ALGO,BNT,84672895.22464687,65111.550511134046,0
ALGO,BTC,inf,431.85326643041,0
ALGO,BTS,192815260.01162624,522.0886963850922,0
ALGO,BTT,inf,20713.418449064222,0
ALGO,BUSD,201344479.27838078,2816.0359611616195,0
ALGO,CTXC,198725834.36682257,1158.2247703432856,0
ALGO,CVC,inf,28057.2599810062,0
ALGO,DASH,199112476.32169104,1339.064072738065,0
ALGO,DATA,199051738.8944108,1260.439055235178,0
ALGO,DENT,2159565879.38859,335555.96984084445,0
ALGO,DOGE,inf,233299.43606506672,0
ALGO,ENJ,inf,11625.251020780828,0
ALGO,EOS,199539159.75763166,2042.688356158895,0
ALGO,ETC,196753166.2474578,1374.6640659284637,0
ALGO,ETH,inf,1854.9002356073775,0
ALGO,FTT,487846675.9062951,4640.203475675354,0
ALGO,FUN,9573348028.626137,19641.3085375347,0
ALGO,GTO,inf,3590.221593943023,0
ALGO,HBAR,189352528.83644843,834.9381548876293,0
ALGO,ICX,inf,456.2237455151887,0
ALGO,IOST,inf,6858.553844371905,0
ALGO,IOTA,inf,959.5102047949083,0
ALGO,IOTX,inf,7420.117566178051,0
ALGO,LINK,128986837.41344301,873.7168405187662,0
ALGO,LSK,179981827.6051091,740.5953815871973,0
ALGO,LTC,146100373.92194888,377.99340492798075,0
ALGO,MATIC,104772363.57221542,24287.84246714352,0
ALGO,MITH,145746605.67346904,17418.269939857182,0
ALGO,NANO,inf,1759.238273404387,0
ALGO,NEO,inf,480.0021734902056,0
ALGO,NULS,165750584.8004966,616.5596485435386,0
ALGO,OMG,inf,5330.390256720627,0
ALGO,ONT,152703890.25215203,1009.5650666531632,0
ALGO,QTUM,inf,547.5611948119961,0
ALGO,RLC,inf,823.3163994132578,0
ALGO,STX,76123703.6548681,6611.547557004956,0
ALGO,THETA,inf,634553.4981554534,0
ALGO,TRX,inf,519.6881074533563,0
ALGO,TUSD,201413464.81759843,2816.501698027554,0
ALGO,VET,inf,37476.795739532834,0
ALGO,WAN,inf,1608.8532619970947,0
ALGO,WAVES,160538917.12138078,4100.863375436194,0
ALGO,WTC,195516370.97734737,506.6159515626005,0
ALGO,XLM,inf,563.5201836454199,0
ALGO,XMR,inf,569.5766141462302,0
ALGO,XRP,190792413.5859139,1029.6179131309927,0
ALGO,XTZ,200260395.38759267,1910.3986790703734,0
ALGO,ZEC,196107051.41850293,866.4238402973565,0
ALGO,ZIL,inf,89832.02487207588,0
ALGO,ZRX,inf,841.3583887118668,0
ATOM,BAND,inf,38449.91020502094,0
ATOM,BAT,0.0,1061.3687573239258,0
ATOM,BCH,inf,2939.601504288359,0
ATOM,BNB,inf,13370.42036450058,0
ATOM,BNT,inf,57283.56209910893,0
ATOM,BTC,0.0,333.1578140197591,0
ATOM,BTS,inf,1449.6226327634952,0
ATOM,BTT,0.0,18452.11236755944,0
ATOM,BUSD,inf,4794.813572700102,0
ATOM,CTXC,inf,2523.3861521206645,0
ATOM,CVC,0.0,23014.0445023543,0
ATOM,DASH,inf,2738.7257058495957,0
ATOM,DATA,inf,2669.9694425858734,0
ATOM,DENT,inf,323192.84007277456,0
ATOM,DOGE,0.0,223247.01703654672,0
ATOM,ENJ,0.0,9378.98375369769,0
ATOM,EOS,inf,3780.5478082750196,0
ATOM,ETC,inf,2800.3349672299732,0
ATOM,ETH,0.0,947.0542604930507,0
ATOM,FTT,inf,2931.9964061853284,0
ATOM,FUN,inf,15844.401407947465,0
ATOM,GTO,0.0,3084.58030697659,0
ATOM,HBAR,inf,943.8188340044439,0
ATOM,ICX,0.0,235.4044535743283,0
ATOM,IOST,0.0,4569.149883646062,0
ATOM,IOTA,0.0,422.3283982836452,0
ATOM,IOTX,0.0,5161.033378597956,0
ATOM,LINK,inf,463.2135520881965,0
ATOM,LSK,inf,1825.7072469971997,0
ATOM,LTC,inf,1097.9473527886196,0
ATOM,MATIC,inf,20092.194006774684,0
ATOM,MITH,inf,15174.373574114701,0
ATOM,NANO,0.0,1014.6531361119561,0
ATOM,NEO,0.0,681.0096670347563,0
ATOM,NULS,inf,1608.2789227157998,0
ATOM,OMG,0.0,3875.7955733114504,0
ATOM,ONT,inf,2317.9939424414024,0
ATOM,QTUM,0.0,900.8128352721146,0
ATOM,RLC,0.0,801.3089315598518,0
ATOM,STX,inf,4678.696195618451,0
ATOM,THETA,0.0,612076.562474015,0
ATOM,TRX,0.0,1012.1719536446963,0
ATOM,TUSD,inf,4795.416194143284,0
ATOM,VET,0.0,32880.09114978123,0
