,DateTime,P_Neg,P_Neu,P_Pos,P_Comp,Prices,ema_short,trading_positions_raw,sentiment_level,trading_positions,cash,stock,holding,total,roi_gross,roi_buy&hold,roi_daily,roi_daily_buy&hold,sharpe,sharpe_buy&hold
66,2021-03-08,0.02980416161868826,0.8854798045707012,0.08470624246414536,0.1883315786837875,52375.17,49772.19662661062,2602.973373389381,pos,0,0.0,2.9613236263558873,136536.06048592387,136536.06048592387,36.53606048592387,78.56171942359953,0.0,0.027533290499148988,1.4273691801719157,1.5523697700472507
67,2021-03-09,0.03253333319680414,0.8865004829450506,0.0809642511577422,0.1471617387124036,54884.5,50701.70633086323,4182.793669136772,pos,0,0.0,2.9613236263558873,136536.06048592387,136536.06048592387,36.53606048592387,87.11673278968924,0.0,0.04791067981259056,1.4271992463130105,1.6568190378159566
68,2021-03-10,0.03612721906111555,0.8847435900474911,0.07914003953190715,0.1315317548319139,55851.59,51638.04881616082,4213.541183839174,neg,-1,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,90.41381522851223,0.2101509140915918,0.017620457506217546,1.7493877274432077,1.6972946554771107
69,2021-03-11,0.029196242204943133,0.8946096033231201,0.07619102299796701,0.14748361156422193,57773.16,52753.523576858846,5019.636423141157,pos,0,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,96.96498906131903,0.0,0.034404929206133694,1.748998112400857,1.7739636609681975
70,2021-03-12,0.03300111865003904,0.8856208047410786,0.08138255037834047,0.15480268413046797,57221.72,53565.92292652087,3655.7970734791306,pos,0,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,95.08497464687512,0.0,-0.009544916705265916,1.7486200395504723,1.7502567701891774
71,2021-03-13,0.030052423910810082,0.892365839302943,0.07758850067551537,0.12158410356294998,61188.39,54951.8260307898,6236.563969210198,neg,-1,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,108.60847090638146,0.0,0.06932105501197783,1.7482530034536887,1.8924900886065954
72,2021-03-14,0.0346044084627674,0.8791995361412761,0.08620765659387662,0.16123805095478375,58968.31,55682.09584337347,3286.2141566265273,pos,0,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,101.03959233170676,0.0,-0.03628270003508838,1.7478965277601748,1.7995241606902987
73,2021-03-15,0.038659751144744056,0.8797645228161357,0.08157883824479159,0.13052562211219443,55605.2,55668.11478094193,-62.914780941930076,neg,0,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,89.57380225960387,0.0,-0.05703249762457163,1.7475501631446966,1.65137950774365
74,2021-03-16,0.03935326686580712,0.8717596892964669,0.08889701011139953,0.1507292361249312,56900.75,55892.23027531612,1008.5197246838798,pos,0,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,93.99069743339031,0.0,0.023299079942163736,1.7472134854172854,1.702841228370441
75,2021-03-17,0.02615778252426813,0.8940458416557515,0.07979637545261428,0.1722539442051242,58912.97,56441.455679804094,2471.514320195907,pos,0,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,100.85092267100875,0.0,0.03536368149804714,1.7468860937898192,1.7791793941317078
76,2021-03-18,0.0339464923205224,0.8839238995816846,0.08212604057198827,0.1553954814209666,57648.16,56660.85646529425,987.3035347057521,pos,0,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,96.53882882302386,0.0,-0.021469126407987926,1.7465676092841154,1.7270481708043361
77,2021-03-19,0.031078085551972053,0.8755856420591436,0.09332619671960847,0.19762355173053572,58030.01,56909.79347160439,1120.2165283956128,pos,0,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,97.84066311896792,0.0,0.0066238020432916045,1.7462576732682162,1.7418744665341614
78,2021-03-20,0.044359307375993216,0.868998556469082,0.08664935074133791,0.1459948049487296,58102.28,57126.60920403995,975.6707959600462,pos,0,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,98.08705192234065,0.0,0.0012453901007425383,1.7459559461090117,1.7444477124862336
79,2021-03-21,0.0368773584816394,0.8854276730485682,0.07769496894423973,0.1397301879178428,57351.56,57167.50934875996,184.05065124003886,,0,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,95.52763580959706,0.0,-0.012920663354346829,1.7456621059305302,1.7136191385991768
80,2021-03-22,0.04067388712176347,0.8783790614415592,0.08093742499067465,0.12046317720677027,54083.25,56606.73492171269,-2523.4849217126903,neg,0,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,84.38504566221722,0.0,-0.05698729031956584,1.7453758474683703,1.5700044474752906
81,2021-03-23,0.04076068378730208,0.880805861582395,0.07844200260909923,0.1351357746109712,54340.89,56194.763117764924,-1853.8731177649242,,0,165229.23840350565,0.0,0.0,165229.23840350565,65.22923840350565,85.26341305257216,0.0,0.004763766970365069,1.7450968810116745,1.5805289892690673
82,2021-03-24,0.030005598367772543,0.8912519241563919,0.07873827864613418,0.1469520641102386,52303.65,55487.288005444025,-3183.6380054440233,pos,1,0.0,3.1558825097154095,165064.1742292764,165064.1742292764,65.06417422927639,78.31788758165658,-0.0009990009990008542,-0.03749000062383956,1.7415098947730536,1.4905455447450378
83,2021-03-25,0.03674535820084426,0.8862617155495837,0.0769823166837374,0.13252413772198082,51293.78,54724.832004454205,-3431.0520044542063,neg,0,0.0,3.1558825097154095,165064.1742292764,165064.1742292764,65.06417422927639,74.87495606287943,0.0,-0.019307830333064713,1.7412467004283918,1.445808092074737
84,2021-03-26,0.03362976182030425,0.8743011906033471,0.09205952399587702,0.17136119066521394,55025.59,54779.51527637162,246.0747236283787,pos,0,0.0,3.1558825097154095,165064.1742292764,165064.1742292764,65.06417422927639,87.59774837385777,0.0,0.07275365551144786,1.7409899631332522,1.5889031834742173
85,2021-03-27,0.0326349925738654,0.8767677226846934,0.09058823558989333,0.16734012000566154,55817.14,54968.17431703132,848.9656829686792,pos,0,0.0,3.1558825097154095,165064.1742292764,165064.1742292764,65.06417422927639,90.2963654668381,0.0,0.014385125175395697,1.7407394481390774,1.6199851637041744
86,2021-03-28,0.0365967742055436,0.876759530818008,0.08664662762383911,0.15141715501814731,55777.63,55115.34807757108,662.2819224289196,pos,0,0.0,3.1558825097154095,165064.1742292764,165064.1742292764,65.06417422927639,90.16166473871775,0.0,-0.0007078470878300047,1.740494931940608,1.6182245031012679
87,2021-03-29,0.02930874012148475,0.8902667424262044,0.08040749150350537,0.16840522091890708,57635.47,55573.55206346724,2061.917936532758,pos,0,0.0,3.1558825097154095,165064.1742292764,165064.1742292764,65.06417422927639,96.49556503563213,0.0,0.03330797669244823,1.7402562016106988,1.6879258711865832
